doc_id,title,text
doc_1,Severe Flooding Devastates Southeastern Bangladesh,"Severe  monsoon  flooding hit southeastern Bangladesh on August 14, 2024,

leaving at least 47 people dead and forcing more than 85,000 residents from their homes. Read the full report at https://www.example-news.com/bangladesh-floods-2024.
The disaster has affected an estimated 200,000 people across five districts. Floodwaters overflowed the banks of the Meghna and Jamuna rivers, inundating hundreds of villages and destroying 15 bridges along key transport corridors. Roads have been rendered impassable in many areas. Contaminated water supplies have raised concerns among health officials, who warn of a heightened risk of waterborne diseases such as cholera and typhoid. Local authorities have set up temporary shelters in schools and community centers to house displaced families. Updates: https://example-news.com/live"
doc_2,Bangladesh Flood Update: Death Toll Rises to 52,"UPDATED — Severe monsoon flooding hit southeastern Bangladesh on August 14, 2024,
leaving at least 52 people dead — up from the initial 47 reported — and forcing more than 85,000 residents from their homes. The disaster, triggered by unusually heavy rainfall and upstream water releases, has now affected an estimated 210,000 people across five districts. Floodwaters overflowed the banks of the Meghna and Jamuna rivers, inundating hundreds of villages and destroying 15 bridges along key transport corridors. Roads have been rendered impassable in many areas, complicating rescue and relief operations. Contaminated water supplies have raised concerns among health officials, who warn of a heightened risk of waterborne diseases such as cholera and typhoid. Local authorities have set up temporary shelters in schools and community centers to house displaced families. https://www.example-news.com/bangladesh-floods-update"
doc_3,Prolonged Drought Threatens 1.2 Million in Northern Kenya,"A prolonged drought gripping the Horn of Africa has pushed over 1.2 million people in northern Kenya to the brink of food insecurity,  according to government figures released on Tuesday. Twelve deaths have been attributed to drought-related causes, including dehydration and malnutrition complications. Several rivers and seasonal streams in Turkana and Marsabit counties have dried up entirely, leaving communities without water for their livestock. Farmers report near-total crop failure, with maize and sorghum yields down more than 80% compared to the five-year average. Livestock losses: an estimated 300,000 cattle, goats, and camels have perished. Agricultural losses are estimated at approximately $50 million. Malnutrition rates, particularly among children under five, have reached emergency levels in several counties."
doc_4,Hurricane Elena Kills 89 in Western Cuba,"Hurricane Elena made landfall on Cuba's western coast on September 7, 2024,
killing 89 people and displacing 120,000 residents from coastal and low-lying areas. The storm reached Category 4 intensity before landfall, affecting an estimated 500,000 people across two provinces. Authorities report that 5 hospitals and 230 schools sustained significant structural damage, straining capacity to deliver health and education services. A powerful storm surge inundated coastal communities, destroying fishing infrastructure and contaminating freshwater sources. Hundreds of homes were destroyed and power outages cut electricity to large portions of the population. Preliminary government estimates suggest damages exceeding $800 million.  https://www.example-news.com/hurricane-elena"
doc_5,VC Funding Drought Deepens as Interest Rates Stay High,"Tech startups are facing their worst funding drought in a decade as venture capital investors pull back amid persistently high interest rates. Deal volumes are down 40% year-on-year, with several prominent companies forced to delay product launches and implement layoffs.  The funding drought is particularly acute in the AI sector, where valuations surged during 2021-2022. Analysts warn the situation could worsen if central banks maintain current monetary policy through Q4."
doc_6,Brazil Wins Copa America Final in Penalty Shootout,"Brazil claimed the Copa America title on Sunday after defeating Argentina 4-2 on penalties at Miami's Hard Rock Stadium. The match ended 0-0 after 90 minutes and extra time. Over 65,000 fans attended the thrilling encounter, which featured a stunning save by Brazil's goalkeeper in the final kick."
doc_7,Typhoon Maring Triggers Deadly Floods and Landslides Across Luzon,"Typhoon Maring made landfall on the northeastern coast of Luzon, Philippines, on October 3, 2024, bringing sustained winds of 185 km/h and torrential rainfall that triggered widespread flooding and multiple landslides across five provinces. At least 134 people were killed — 91 by landslides in the Cordillera highlands and 43 by floodwaters in coastal and valley communities — and 320,000 were displaced. The storm affected an estimated 1.8 million people. In Cagayan Valley, the Cagayan River burst its banks after the typhoon dumped more than 400 mm of rain in 24 hours, inundating entire towns and destroying the Tumauini Bridge. Landslides buried two villages in Mountain Province and blocked major road arteries, cutting off rescue operations for 72 hours. The Philippine Institute of Volcanology and Seismology warned of further ground instability as soils remained saturated. Damage to infrastructure, agriculture, and housing is preliminarily estimated at 12 billion Philippine pesos. Thousands of hectares of rice paddies were submerged, with harvest losses expected to drive food price increases across the region."
doc_8,Severe Cold Wave Devastates Mongolian Herders,"A severe cold wave — known locally as a *dzud* — has gripped Mongolia since January 12, 2024, with temperatures plunging below -45°C across central and western provinces. Authorities confirm at least 23 deaths from extreme cold and report that more than 700,000 people have been affected, with around 12,000 herder families displaced as pastures became inaccessible under deep snow and ice. Livestock losses are catastrophic: an estimated 4.7 million animals — sheep, goats, horses, cattle and camels — have perished, threatening the livelihoods of nomadic communities. Health officials warn of rising hypothermia and respiratory illness cases, while frozen water sources have left many rural communities without drinking water. Preliminary economic losses to the livestock sector are estimated at $230 million."
doc_9,Compound Heatwave and Wildfires Ravage Southern Greece,"Southern Greece is enduring a punishing compound event as a record-breaking heatwave fuels widespread wildfires across the Peloponnese and Attica regions. Beginning on July 21, 2024, temperatures climbed above 45°C for ten consecutive days, and dozens of wildfires ignited in tinder-dry forests. Authorities report at least 31 deaths — 18 attributed to heat stress and 13 to the fires — with nearly 25,000 residents and tourists evacuated from coastal villages. The blazes have burned more than 90,000 hectares of forest and farmland, destroyed 420 homes, and damaged 8 power substations, leading to rolling blackouts. Olive groves and vineyards across three regions have been wiped out, with agricultural losses preliminarily estimated at €450 million. Hospitals report a sharp increase in admissions for respiratory issues linked to smoke inhalation, and air quality across Athens has reached hazardous levels."
doc_10,Drought-Driven Heatwave Strains Power Grid in Central United States,"An intense heatwave compounded by an ongoing multi-year drought has placed unprecedented stress on communities and infrastructure across the central United States since June 18, 2024. Temperatures exceeded 42°C in parts of Texas, Oklahoma and Kansas, while reservoirs in the Missouri River basin fell to record lows. At least 47 heat-related deaths have been confirmed and roughly 3.5 million people have been affected by the combined hazard. Authorities report that 2 power plants and 14 water treatment facilities have been forced offline or curtailed, triggering rolling blackouts and water-use restrictions. Crop losses are mounting: corn and soybean yields are down 35% across the region, and cattle ranchers face severe shortages of forage and drinking water. Economic damages to agriculture alone are preliminarily estimated at $2.1 billion."
